work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Senior,Lead Engineer,États-Unis,177530.83333333334
2025,Senior,Database Administrator,États-Unis,83812.05
2025,Intermédiaire,Software Developer,États-Unis,134317.08333333334
2025,Intermédiaire,Data Engineer,Slovaquie,39057.5375
2025,Senior,System Engineer,États-Unis,199382.8125
2025,Intermédiaire,Data Analyst,Royaume-Uni,42958.84166666667
2025,Senior,Software Development Engineer,États-Unis,224967.91666666666
2025,Senior,Data Developer,États-Unis,160999.50000000003
2025,Senior,Data Lead,États-Unis,155358.33333333334
2025,Senior,Software Architect,États-Unis,184733.125
2025,Senior,Analytics Lead,États-Unis,105583.33333333333
2025,Intermédiaire,Associate,Australie,103264.27083333333
2025,Cadre supérieur,Statistician,États-Unis,213353.75
2025,Intermédiaire,Analytics Engineer,Canada,120666.66666666667
2025,Intermédiaire,Forward Deployed Engineer,États-Unis,203625.0
2025,Senior,Product Manager,Canada,75416.66666666667
2025,Senior,Platform Engineer,Royaume-Uni,124102.65000000001
2025,Intermédiaire,Software Engineer,Tchéquie,28578.391666666666
2025,Senior,Algorithm Developer,Canada,94270.83333333333
2025,Débutant,Integration Specialist,États-Unis,128585.41666666669
2025,Intermédiaire,Actuary,États-Unis,139520.83333333334
2025,Senior,Member of Technical Staff,États-Unis,207395.83333333334
2025,Débutant,Technical Project Manager,Australie,150833.33333333334
2025,Cadre supérieur,Head of AI,Canada,199024.58333333334
2025,Cadre supérieur,Head of AI,États-Unis,260338.33333333337
2025,Senior,Power BI Developer,États-Unis,101812.5
2025,Senior,Product Designer,États-Unis,154604.1666666667
2025,Senior,MLOps Engineer,Pays-Bas,60989.458333333336
2025,Senior,Data Infrastructure Engineer,États-Unis,188541.66666666666
2025,Senior,Analytics Engineer,Inde,44587.841666666674
2025,Intermédiaire,Data Scientist,Royaume-Uni,45937.04583333334
2025,Senior,Engineer,Ukraine,85736.68333333333
2025,Senior,Technical Lead,Canada,92008.33333333333
2025,Intermédiaire,Postdoctoral Fellow,États-Unis,45853.333333333336
2025,Intermédiaire,ETL Developer,États-Unis,96533.33333333333
2025,Intermédiaire,Data Operations Analyst,États-Unis,74662.50000000001
2025,Senior,Data Integration Engineer,États-Unis,134317.08333333334
2025,Senior,Software Engineer,Finlande,85736.68333333333
2025,Senior,AI Engineer,Canada,106983.82083333335
2025,Senior,Power BI Developer,Canada,101812.5
2025,Cadre supérieur,Account Executive,Royaume-Uni,105010.16666666667
2025,Senior,AI Product Owner,États-Unis,182010.58333333334
2025,Intermédiaire,Python Developer,États-Unis,113125.0
2025,Senior,Business Analyst,États-Unis,112220.0
2025,Senior,Data Governance Specialist,États-Unis,100077.91666666667
2025,Débutant,Data Analyst,Pays-Bas,27785.008333333335
2025,Cadre supérieur,Data Product Owner,États-Unis,195291.45833333334
2025,Senior,Machine Learning Architect,États-Unis,164785.4166666667
2025,Senior,Post Doctoral Fellow,États-Unis,83260.00000000001
